stress_score,positive_affect,negative_affect,clarity_rating,prior_adherence,prior_delta,age_band,stress_state_bucket
34,28,29,1,0.52,2.59,18-25,Moderate
13,24,40,1,0.63,1.69,18-25,Moderate
15,32,20,4,0.96,-8.84,18-25,Moderate
37,21,33,4,0.34,-6.61,26-40,Moderate
35,35,17,2,0.23,-4.68,18-25,Moderate
36,50,45,3,0.7,0.72,41-60,Moderate
32,29,22,4,0.27,-7.34,18-25,Moderate
34,15,27,3,0.73,2.27,18-25,Moderate
1,19,39,2,0.55,-6.7,18-25,Moderate
32,10,27,1,0.38,4.99,41-60,Moderate
24,31,36,1,0.84,-0.63,41-60,Moderate
34,10,30,4,0.81,9.99,41-60,Moderate
37,12,32,5,0.73,5.14,26-40,Moderate
18,26,30,1,0.13,9.08,41-60,Moderate
12,13,10,1,0.76,-9.06,41-60,Moderate
30,17,48,2,0.5,-0.48,18-25,High
2,21,10,4,0.56,7.53,18-25,Moderate
16,32,24,5,0.62,4.08,26-40,Moderate
38,47,43,2,0.59,-2.16,41-60,High
26,43,47,1,0.78,-2.07,41-60,Moderate
16,14,38,4,0.46,6.84,26-40,Moderate
16,29,33,5,0.98,-0.15,41-60,Moderate
12,20,32,3,0.14,2.82,41-60,Moderate
39,13,34,3,0.87,0.3,26-40,Moderate
31,28,30,5,0.35,-3.05,41-60,Moderate
21,30,15,1,0.53,-2.88,26-40,Moderate
33,23,35,5,0.32,-8.15,41-60,Moderate
21,39,26,2,0.87,-8.31,26-40,Moderate
34,24,31,2,0.76,0.63,26-40,High
1,35,23,3,0.25,4.27,41-60,Low
22,27,47,3,0.4,-7.9,26-40,Moderate
36,37,19,1,0.84,-8.22,41-60,Moderate
24,26,22,4,0.47,-2.9,41-60,Moderate
40,27,45,2,0.56,1.73,18-25,High
18,50,46,4,0.65,1.42,41-60,Moderate
5,46,42,5,0.1,-6.94,26-40,Low
3,39,20,1,0.08,0.49,18-25,Moderate
39,46,45,2,0.58,8.35,26-40,High
14,15,39,3,0.82,4.37,26-40,Moderate
10,17,35,3,0.84,-5.9,26-40,Moderate
25,13,28,4,0.51,-5.15,18-25,Moderate
0,35,23,5,0.51,8.64,26-40,Low
12,12,42,2,0.45,0.97,26-40,Moderate
9,11,22,2,0.09,-7.22,18-25,Moderate
8,26,18,3,0.47,2.12,18-25,Moderate
34,39,40,1,0.85,4.92,26-40,High
13,20,18,2,0.18,-8.67,18-25,Moderate
39,31,38,3,0.8,-5.97,26-40,Moderate
29,44,30,5,0.81,3.3,18-25,Moderate
25,13,34,5,0.59,3.66,26-40,Moderate
7,48,49,3,0.62,0.8,41-60,Low
14,42,34,1,0.9,-2.32,41-60,Moderate
13,49,49,3,0.54,-1.37,18-25,Low
2,16,17,2,0.14,5.88,26-40,Moderate
28,42,39,3,0.79,-6.97,41-60,Moderate
32,46,36,1,0.03,1.4,18-25,High
9,14,19,1,0.1,0.73,26-40,Moderate
35,33,24,5,0.54,-0.27,41-60,Moderate
3,21,11,3,0.64,3.88,41-60,Moderate
35,35,36,5,0.83,9.18,26-40,Moderate
39,47,15,2,0.95,-6.93,26-40,Moderate
12,49,27,1,0.26,4.52,26-40,Moderate
11,45,13,5,0.92,4.14,41-60,Low
27,40,18,3,0.74,8.69,18-25,Moderate
21,20,32,1,0.11,9.7,26-40,Moderate
35,32,10,3,0.59,-2.02,26-40,Moderate
8,18,19,4,0.79,2.07,41-60,Moderate
34,34,35,3,0.92,-0.69,41-60,Moderate
26,43,36,1,0.59,-9.34,26-40,Moderate
23,34,16,4,0.42,8.3,18-25,Moderate
28,31,35,4,0.21,0.3,18-25,Moderate
16,29,50,1,0.56,7.21,26-40,Moderate
39,16,10,5,0.4,-1.46,41-60,Moderate
18,41,39,5,0.62,-2.45,41-60,Moderate
15,49,28,2,0.29,4.28,41-60,Moderate
1,37,39,3,0.16,-6.36,18-25,Low
28,48,12,2,0.27,2.88,18-25,Moderate
32,32,37,2,0.87,-1.84,18-25,High
2,33,32,3,0.51,1.9,41-60,Low
36,12,42,4,0.24,-8.01,26-40,Moderate
31,33,23,3,0.96,8.89,26-40,Moderate
20,23,40,2,0.01,-8.29,18-25,Moderate
22,30,28,5,0.88,2.86,18-25,Moderate
17,11,10,5,0.34,-4.81,18-25,Moderate
1,12,32,4,0.83,-3.1,41-60,Moderate
29,18,43,5,0.29,8.97,18-25,Moderate
21,33,26,2,0.57,9.71,26-40,Moderate
22,41,26,2,0.02,-4.63,18-25,Moderate
39,11,34,1,0.14,6.7,26-40,High
3,35,38,5,0.69,3.66,18-25,Low
5,27,30,2,0.58,-4.52,18-25,Moderate
16,46,34,2,0.72,-7.87,41-60,Moderate
21,30,36,1,0.27,4.64,41-60,Moderate
33,21,16,2,0.91,-1.62,18-25,Moderate
27,11,10,3,0.09,5.42,41-60,Moderate
28,30,20,3,0.36,4.38,18-25,Moderate
38,49,44,2,0.4,9.08,18-25,High
21,14,42,2,0.03,-4.75,18-25,Moderate
34,26,43,1,0.77,-7.87,41-60,High
8,49,26,1,0.5,3.77,18-25,Moderate
24,48,44,3,0.08,-9.95,18-25,Moderate
29,47,43,4,0.36,-8.17,41-60,Moderate
16,19,21,3,0.73,6.13,18-25,Moderate
22,46,25,1,0.9,2.93,41-60,Moderate
25,50,35,2,0.59,9.99,26-40,Moderate
25,30,31,2,0.31,-7.59,26-40,Moderate
6,18,17,2,0.42,5.91,26-40,Moderate
30,39,48,3,0.32,6.58,26-40,Moderate
16,23,40,3,0.56,-0.38,26-40,Moderate
2,46,49,2,0.72,-8.69,41-60,Moderate
14,13,38,1,0.74,0.4,18-25,Moderate
1,44,43,3,0.87,0.58,26-40,Low
31,41,44,3,1.0,-2.99,41-60,Moderate
28,25,19,1,0.34,0.45,41-60,Moderate
0,39,12,5,0.35,-4.26,26-40,Low
3,27,46,1,0.28,8.21,18-25,Moderate
14,18,24,1,0.39,-7.51,26-40,Moderate
36,46,15,3,0.9,9.78,26-40,Moderate
6,13,17,4,0.84,-5.39,18-25,Moderate
9,43,35,1,0.19,5.59,18-25,Moderate
5,14,14,1,0.52,1.95,18-25,Moderate
34,27,26,3,0.82,-5.51,26-40,Moderate
24,18,13,5,0.09,7.55,18-25,Moderate
2,37,38,1,0.04,7.04,26-40,Moderate
8,24,49,1,0.55,-8.26,41-60,Moderate
23,24,47,3,0.72,-0.08,41-60,Moderate
5,46,22,4,0.08,7.02,18-25,Low
39,41,38,3,0.82,-3.04,41-60,Moderate
33,49,36,5,0.27,7.57,26-40,Moderate
18,25,49,4,0.85,7.35,18-25,Moderate
40,22,34,5,0.68,2.37,41-60,Moderate
37,16,14,3,0.96,-0.69,26-40,Moderate
30,32,19,3,0.23,8.17,26-40,Moderate
17,45,11,5,0.51,-9.87,26-40,Moderate
31,22,36,1,0.56,-7.68,26-40,High
33,33,44,3,0.76,0.83,26-40,Moderate
31,43,37,4,0.18,5.07,26-40,Moderate
21,13,29,4,0.07,-3.98,26-40,Moderate
16,21,31,1,0.58,-3.08,26-40,Moderate
25,27,23,5,0.45,2.95,26-40,Moderate
11,16,38,3,0.82,-2.56,41-60,Moderate
31,20,32,2,0.16,-0.63,26-40,High
3,26,44,5,0.85,0.54,26-40,Moderate
28,38,20,4,0.84,5.46,18-25,Moderate
19,31,20,3,0.87,9.26,41-60,Moderate
27,38,30,5,0.64,-2.05,41-60,Moderate
4,12,10,2,0.89,-5.4,26-40,Moderate
34,34,33,4,0.56,-0.57,26-40,Moderate
26,17,34,1,0.09,-6.93,41-60,Moderate
26,16,12,5,0.13,-9.35,41-60,Moderate
2,29,24,1,0.0,1.97,41-60,Moderate
19,45,18,1,0.16,3.03,26-40,Moderate
1,33,17,3,0.98,-7.01,26-40,Low
20,27,39,2,0.48,2.0,26-40,Moderate
31,20,34,1,0.95,8.16,18-25,High
10,31,33,1,0.24,9.73,18-25,Moderate
31,24,25,4,0.7,1.19,41-60,Moderate
31,42,11,1,0.09,-2.99,18-25,Moderate
32,22,35,2,0.98,-5.98,41-60,High
14,43,49,3,0.12,7.92,18-25,Moderate
8,15,18,1,0.71,7.42,41-60,Moderate
27,29,16,3,0.89,0.95,18-25,Moderate
21,35,12,1,0.16,-1.23,18-25,Moderate
17,21,32,4,0.16,7.44,26-40,Moderate
18,45,17,5,0.79,3.17,41-60,Moderate
17,15,27,3,0.23,9.93,41-60,Moderate
40,12,37,2,0.4,-5.59,18-25,High
14,42,16,4,0.17,9.22,18-25,Moderate
23,29,46,4,0.74,5.35,18-25,Moderate
23,41,50,4,0.03,-2.09,26-40,Moderate
35,11,24,2,0.79,3.1,18-25,Moderate
11,12,27,5,0.73,-7.37,18-25,Moderate
7,45,39,2,0.24,9.43,41-60,Moderate
36,14,47,5,0.44,-8.05,18-25,Moderate
13,48,34,4,0.59,-6.73,18-25,Low
24,37,11,3,0.66,-3.5,41-60,Moderate
39,21,45,5,0.24,-5.31,26-40,Moderate
9,12,23,2,0.45,3.39,18-25,Moderate
40,10,14,4,0.59,8.97,18-25,Moderate
19,37,46,5,0.53,5.64,41-60,Moderate
27,24,15,4,0.54,-9.32,18-25,Moderate
13,11,18,5,0.94,-9.21,41-60,Moderate
34,15,46,5,0.09,-7.93,18-25,Moderate
13,21,29,5,0.48,3.72,18-25,Moderate
33,34,38,1,0.58,-4.92,18-25,High
22,47,29,5,0.14,8.8,41-60,Moderate
7,30,10,5,0.44,7.36,18-25,Moderate
21,43,10,2,0.37,-9.65,41-60,Moderate
17,26,35,1,0.03,8.62,26-40,Moderate
3,42,10,3,0.94,6.54,26-40,Low
4,50,35,4,0.16,2.1,26-40,Low
8,42,50,1,0.87,5.65,41-60,Moderate
12,40,50,3,0.88,-1.92,26-40,Low
3,47,28,2,0.76,5.96,18-25,Moderate
18,20,10,1,0.33,2.6,41-60,Moderate
6,24,30,3,0.39,-1.03,26-40,Moderate
31,44,47,2,0.59,-6.63,26-40,High
13,19,11,1,0.38,7.27,26-40,Moderate
1,15,37,5,0.81,-7.82,26-40,Moderate
4,43,46,4,0.48,-2.11,26-40,Low
22,15,30,3,0.01,2.95,26-40,Moderate
14,34,45,3,0.38,-6.06,41-60,Moderate
12,31,28,2,0.17,2.35,41-60,Moderate
26,38,37,3,0.58,-8.21,41-60,Moderate
29,27,11,1,0.98,6.46,18-25,Moderate
29,20,16,4,0.18,0.5,26-40,Moderate
6,45,29,4,0.09,6.31,26-40,Low
12,31,30,4,0.23,-5.76,26-40,Low
9,33,17,1,0.24,5.61,26-40,Moderate
23,28,45,4,0.67,6.19,18-25,Moderate
18,45,19,1,0.42,-6.94,18-25,Moderate
34,43,42,5,0.1,-9.53,26-40,Moderate
14,44,37,3,0.23,-2.18,18-25,Moderate
24,11,44,5,0.68,-1.15,26-40,Moderate
38,50,20,4,0.82,2.06,26-40,Moderate
37,41,48,5,0.08,-8.29,41-60,Moderate
32,45,12,1,0.32,-5.47,41-60,Moderate
40,48,13,5,0.52,-8.65,18-25,Moderate
4,36,41,5,0.27,1.86,18-25,Low
2,12,31,2,0.99,3.24,41-60,Moderate
16,44,43,4,0.06,1.25,26-40,Moderate
35,14,22,5,0.69,-5.98,18-25,Moderate
15,39,25,4,0.35,3.3,26-40,Moderate
19,12,25,5,0.12,9.48,26-40,Moderate
4,29,49,4,0.24,3.43,26-40,Moderate
19,15,31,2,0.79,7.29,18-25,Moderate
15,21,47,4,0.71,-9.28,41-60,Moderate
32,32,11,1,0.09,8.74,26-40,Moderate
8,10,20,3,0.4,-1.06,41-60,Moderate
3,27,15,3,0.79,1.49,18-25,Moderate
36,21,47,2,0.63,3.49,41-60,High
29,23,15,3,0.79,-3.91,41-60,Moderate
8,24,30,3,0.17,3.9,41-60,Moderate
17,23,29,2,0.64,6.45,41-60,Moderate
24,42,45,1,0.61,5.3,18-25,Moderate
2,44,50,1,0.67,-7.56,26-40,Moderate
20,43,13,1,0.23,-8.4,18-25,Moderate
11,41,41,4,0.31,0.12,26-40,Low
17,38,15,5,0.02,2.05,26-40,Moderate
22,28,40,3,0.56,-6.16,18-25,Moderate
24,11,20,2,0.06,3.9,26-40,Moderate
8,32,28,1,0.14,-7.57,18-25,Moderate
6,25,25,4,0.62,2.66,26-40,Moderate
39,26,46,4,0.31,2.48,41-60,Moderate
37,48,46,4,0.4,3.08,41-60,Moderate
34,16,36,4,0.48,-6.46,41-60,Moderate
21,14,11,3,0.42,5.81,41-60,Moderate
20,19,32,2,0.19,2.38,18-25,Moderate
12,30,35,2,0.63,-6.02,41-60,Moderate
36,41,45,1,0.11,0.96,18-25,High
20,35,13,2,0.32,4.75,26-40,Moderate
39,44,50,5,0.39,-0.81,18-25,Moderate
20,22,50,1,0.66,8.86,26-40,Moderate
1,38,42,2,0.93,-4.94,18-25,Moderate
39,30,37,3,0.5,-2.27,18-25,Moderate
21,17,24,1,0.07,0.37,26-40,Moderate
18,14,41,4,0.51,3.6,18-25,Moderate
12,17,32,3,0.66,6.04,26-40,Moderate
34,33,26,5,0.51,-2.25,18-25,Moderate
30,45,20,4,0.77,3.23,18-25,Moderate
27,14,14,2,0.02,-8.36,18-25,Moderate
27,26,40,1,0.98,3.35,18-25,High
2,45,13,1,0.64,0.61,18-25,Moderate
9,30,45,4,0.47,-7.72,41-60,Moderate
12,41,40,4,0.16,-9.13,26-40,Low
16,49,27,1,0.37,-1.36,26-40,Moderate
24,31,39,4,0.12,-6.05,18-25,Moderate
20,44,41,1,0.26,0.88,26-40,Moderate
20,22,30,4,0.05,-3.6,26-40,Moderate
21,34,31,4,0.04,-6.7,41-60,Moderate
28,30,24,4,0.82,-5.73,18-25,Moderate
22,33,22,3,0.76,4.87,26-40,Moderate
2,28,32,5,0.09,1.54,26-40,Moderate
24,46,17,2,0.56,6.24,26-40,Moderate
4,12,10,4,0.1,-1.97,18-25,Moderate
33,34,19,5,0.73,2.32,41-60,Moderate
26,11,50,5,0.54,0.48,18-25,Moderate
25,21,26,1,0.96,-2.64,18-25,Moderate
10,25,40,3,1.0,-2.63,18-25,Moderate
3,29,19,3,0.14,3.26,41-60,Moderate
39,48,30,2,0.62,-2.89,26-40,Moderate
19,26,16,4,0.51,4.47,18-25,Moderate
36,25,13,2,0.6,2.04,26-40,Moderate
18,28,31,5,0.75,9.64,26-40,Moderate
30,45,28,5,0.15,-3.44,18-25,Moderate
32,27,37,3,0.77,4.67,41-60,Moderate
32,26,15,4,0.5,-6.43,18-25,Moderate
14,15,23,4,0.38,1.44,26-40,Moderate
15,14,19,2,0.17,4.01,18-25,Moderate
29,15,26,3,0.3,8.81,41-60,Moderate
34,35,14,5,0.46,-0.38,18-25,Moderate
20,19,14,4,0.13,-8.39,26-40,Moderate
38,48,44,1,0.78,-9.86,26-40,High
40,40,29,1,0.96,-8.62,41-60,Moderate
29,31,37,3,0.28,5.74,41-60,Moderate
9,25,25,2,0.84,-4.64,41-60,Moderate
8,45,29,2,0.91,-7.22,26-40,Moderate
3,42,36,2,0.73,0.97,18-25,Moderate
23,24,16,5,0.05,-1.62,26-40,Moderate
13,46,30,2,0.14,4.5,26-40,Moderate
36,33,28,3,0.97,2.17,41-60,Moderate
40,42,13,2,0.09,3.68,26-40,Moderate
32,26,33,5,0.23,-1.92,26-40,Moderate
40,48,31,1,0.54,-8.37,41-60,High
5,43,10,2,0.17,8.91,18-25,Moderate
1,19,43,3,0.65,0.91,41-60,Moderate
23,49,47,4,0.36,9.56,18-25,Moderate
31,16,30,4,0.54,5.17,18-25,Moderate
21,24,49,5,0.66,-6.77,41-60,Moderate
13,36,50,2,0.75,1.16,18-25,Moderate
1,34,12,4,0.54,-0.04,26-40,Low
5,48,32,1,0.4,-8.13,26-40,Moderate
4,20,21,2,0.09,-2.87,18-25,Moderate
40,45,46,5,0.31,2.85,41-60,Moderate
14,49,27,2,0.45,1.16,26-40,Moderate
1,16,25,3,0.36,7.94,18-25,Moderate
39,47,42,4,0.2,-6.32,41-60,Moderate
36,41,46,4,0.8,9.36,41-60,Moderate
18,41,18,4,0.74,-3.61,41-60,Moderate
0,30,39,5,0.32,9.94,18-25,Moderate
30,36,14,1,0.09,-9.41,18-25,Moderate
19,43,35,5,0.97,-3.26,41-60,Moderate
8,47,15,3,0.76,9.76,41-60,Low
1,18,30,2,0.82,7.6,41-60,Moderate
29,35,30,4,0.83,-7.99,26-40,Moderate
20,44,43,1,0.74,-6.17,18-25,Moderate
10,32,31,1,0.84,-0.57,41-60,Moderate
14,36,44,1,0.13,3.52,18-25,Moderate
1,44,49,4,0.68,-6.66,18-25,Low
19,10,17,3,0.69,0.25,26-40,Moderate
37,24,30,3,0.76,-1.83,18-25,Moderate
13,45,21,1,0.77,5.77,41-60,Moderate
12,24,27,3,0.91,3.41,18-25,Moderate
22,36,43,4,0.38,-7.42,41-60,Moderate
18,39,23,3,0.42,-9.16,18-25,Moderate
23,23,35,1,0.29,8.22,26-40,Moderate
18,18,37,4,0.98,2.43,41-60,Moderate
8,28,23,5,0.54,-8.07,41-60,Moderate
29,18,42,4,0.3,1.97,26-40,Moderate
34,50,23,1,0.05,8.06,18-25,Moderate
7,11,50,5,0.59,7.85,18-25,Moderate
15,38,39,4,0.58,9.91,26-40,Moderate
20,30,14,4,0.22,-0.23,18-25,Moderate
8,18,13,3,0.83,7.58,41-60,Moderate
0,17,32,4,0.91,-0.71,18-25,Moderate
14,50,28,2,0.16,-6.59,41-60,Moderate
20,47,29,1,0.7,-5.25,26-40,Moderate
6,37,37,4,0.38,-0.25,18-25,Low
21,11,33,2,0.47,9.68,41-60,Moderate
7,32,47,1,0.0,-9.2,18-25,Moderate
5,35,36,3,0.28,9.43,41-60,Low
28,44,49,3,0.45,-0.51,41-60,Moderate
12,47,17,3,0.84,-4.3,26-40,Low
38,30,50,1,0.82,-4.31,41-60,High
16,33,30,3,0.88,1.5,26-40,Moderate
38,22,20,3,0.45,8.59,18-25,Moderate
0,49,28,4,0.88,3.42,18-25,Low
11,42,35,4,0.82,-9.97,26-40,Low
26,32,39,5,0.83,-9.19,41-60,Moderate
19,27,27,2,0.67,6.01,18-25,Moderate
35,27,46,3,0.6,0.99,18-25,Moderate
32,21,24,1,0.94,3.37,41-60,Moderate
40,19,11,3,0.59,-9.8,41-60,Moderate
17,18,48,4,0.17,2.76,26-40,Moderate
1,38,47,3,0.53,-7.16,41-60,Low
16,50,21,3,0.45,-8.31,18-25,Moderate
14,35,46,5,0.81,-5.68,18-25,Moderate
24,32,33,1,0.07,-2.25,26-40,Moderate
17,45,44,5,0.28,-3.87,41-60,Moderate
29,43,41,3,0.45,1.59,18-25,Moderate
40,32,49,3,0.58,-2.58,41-60,Moderate
35,42,33,2,0.17,-1.39,41-60,High
3,46,10,1,0.95,-3.2,26-40,Moderate
9,27,37,3,0.34,-8.57,18-25,Moderate
10,47,14,2,0.84,1.6,26-40,Moderate
37,10,40,4,0.17,9.44,26-40,Moderate
29,33,12,3,0.14,-8.01,41-60,Moderate
26,15,24,5,0.29,8.0,26-40,Moderate
36,46,44,4,0.99,0.91,26-40,Moderate
28,22,26,5,0.97,5.47,41-60,Moderate
4,46,50,1,0.53,-6.63,41-60,Moderate
22,12,43,5,0.19,-8.85,18-25,Moderate
20,20,48,4,0.35,1.61,26-40,Moderate
23,44,22,2,0.49,-1.96,41-60,Moderate
16,44,27,1,0.79,-0.77,18-25,Moderate
38,30,17,4,0.85,4.22,18-25,Moderate
18,36,43,3,0.35,-0.83,18-25,Moderate
20,20,48,4,0.06,3.62,41-60,Moderate
40,21,15,1,0.95,0.26,26-40,Moderate
31,15,45,3,0.2,5.24,41-60,Moderate
14,36,20,1,0.36,4.51,26-40,Moderate
13,36,27,4,0.83,5.29,18-25,Low
3,16,44,1,0.06,-9.94,18-25,Moderate
16,42,41,3,0.31,-4.88,18-25,Moderate
4,22,40,2,0.48,3.75,41-60,Moderate
2,19,30,4,0.8,-4.42,26-40,Moderate
29,39,44,3,0.2,9.89,26-40,Moderate
39,16,39,3,0.74,6.68,18-25,Moderate
0,24,46,5,0.75,5.38,41-60,Moderate
8,10,45,3,0.61,-8.23,18-25,Moderate
8,43,23,4,0.41,-8.68,18-25,Low
34,17,12,4,0.58,3.96,26-40,Moderate
18,47,25,2,0.08,0.01,18-25,Moderate
15,47,11,2,0.71,3.34,41-60,Moderate
30,43,48,3,0.8,8.58,41-60,Moderate
26,38,48,5,0.84,0.98,41-60,Moderate
29,22,30,3,0.36,2.96,26-40,Moderate
21,40,26,2,0.59,2.5,18-25,Moderate
19,41,23,2,0.71,6.45,41-60,Moderate
23,24,31,4,0.14,5.51,26-40,Moderate
17,21,40,2,0.13,2.59,18-25,Moderate
10,50,21,1,0.32,-10.0,26-40,Moderate
28,35,27,1,0.06,6.79,26-40,Moderate
40,15,14,4,0.74,-3.67,18-25,Moderate
10,10,28,1,0.84,-3.73,18-25,Moderate
35,27,24,3,0.43,8.2,26-40,Moderate
11,46,26,2,0.04,1.29,41-60,Moderate
26,34,19,5,0.71,3.33,41-60,Moderate
32,33,20,1,0.68,8.88,18-25,Moderate
8,30,29,3,0.63,9.99,26-40,Moderate
16,46,48,4,0.87,-0.48,26-40,Moderate
17,23,44,4,0.0,7.18,41-60,Moderate
12,27,46,5,0.42,4.39,26-40,Moderate
8,18,47,3,0.73,2.95,41-60,Moderate
35,32,43,1,0.14,3.03,18-25,High
17,12,37,4,0.05,3.64,18-25,Moderate
0,45,30,4,0.04,3.34,18-25,Low
9,19,22,5,0.91,6.77,41-60,Moderate
16,45,23,2,0.03,4.72,26-40,Moderate
37,26,21,4,0.01,-0.72,41-60,Moderate
35,35,47,1,0.31,5.48,41-60,High
16,49,37,2,0.86,1.51,26-40,Moderate
29,50,43,5,0.27,-9.65,41-60,Moderate
24,42,16,4,0.64,1.41,18-25,Moderate
15,45,22,4,0.85,-9.53,26-40,Moderate
10,17,42,1,0.29,-5.86,26-40,Moderate
3,49,12,5,0.23,-5.07,41-60,Low
27,22,24,4,0.47,-8.84,41-60,Moderate
25,49,18,5,0.53,3.02,41-60,Moderate
10,24,41,4,0.78,-5.9,18-25,Moderate
25,16,35,1,0.78,1.57,26-40,Moderate
10,22,17,4,0.39,3.48,41-60,Moderate
0,47,33,4,0.54,-8.79,18-25,Low
25,14,29,4,0.23,-9.11,26-40,Moderate
32,47,36,2,0.24,0.01,18-25,High
20,14,15,2,0.55,-6.39,18-25,Moderate
30,39,12,5,0.48,7.95,26-40,Moderate
32,26,20,5,0.53,-2.16,26-40,Moderate
5,50,25,4,0.95,9.9,26-40,Low
25,21,20,5,0.44,1.87,26-40,Moderate
37,27,35,4,0.83,4.64,26-40,Moderate
33,26,25,2,0.97,-2.14,18-25,Moderate
7,39,41,4,0.25,2.81,26-40,Low
38,26,29,2,0.77,-0.02,41-60,Moderate
8,46,19,4,0.36,8.52,18-25,Low
20,33,49,2,0.51,6.17,26-40,Moderate
21,46,36,1,0.4,7.89,18-25,Moderate
9,45,18,3,0.95,-0.11,41-60,Low
24,38,16,1,0.64,-8.19,26-40,Moderate
29,44,44,1,0.44,-4.49,26-40,High
16,27,38,4,0.57,-1.69,41-60,Moderate
0,10,35,5,0.97,-9.45,26-40,Moderate
10,50,50,5,0.04,-6.5,41-60,Low
33,50,38,4,0.58,-1.27,41-60,Moderate
